Species,Taxonomy,CO1
Dicrotendipes_tritomus_1473629,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,754.0
Culicoides_obsoletus_289301,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Ceratopogonidae_41819,753.0
Aedes_vexans_7163,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,747.0
Apis_mellifera_7460,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Apidae_7458,747.0
Micropsectra_subletteorum_1158957,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,705.0
Tapinoma_sessile_29039,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Formicidae_36668,695.0
Phyllocnistis_populiella_943761,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Gracillariidae_98966,694.0
Limnophyes_minimus_82134,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,685.0
Corynoptera_perpusilla_1817629,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,682.0
Limnophyes_schnelli_1692398,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,679.0
Corynoptera_trepida_1817632,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,677.0
Drosophila_affinis_7246,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Drosophilidae_7214,669.0
Austrosciara_hyalipennis_1260805,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,647.0
Thienemanniella_xena_611689,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,644.0
Apis_cerana_7461,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Apidae_7458,642.0
Ochlerotatus_sticticus_120878,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,634.0
Ostrinia_furnacalis_93504,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Crambidae_268499,628.0
Limnophyes_natalensis_879757,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,622.0
Trichopalpus_punctipes_113150,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Scathophagidae_43756,618.0
Dikraneura_mali_1656435,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,608.0
Anopheles_triannulatus_58253,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,603.0
Fannia_spathiophora_1086766,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Fanniidae_27471,597.0
Bombus_terrestris_30195,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Apidae_7458,593.0
Pollenia_pediculata_1266492,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Polleniidae_54279,591.0
Scaptomyza_pallida_7300,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Drosophilidae_7214,576.0
Erythroneura_tricincta_1473639,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,574.0
Megaselia_diversa_1887999,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Phoridae_36164,562.0
Helicoverpa_armigera_29058,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Noctuidae_7100,558.0
Psyllobora_vigintimaculata_633108,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Coccinellidae_7080,554.0
Toxomerus_geminatus_115328,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Syrphidae_34680,543.0
Erasmoneura_vulnerata_680300,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,539.0
Toxomerus_marginatus_115329,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Syrphidae_34680,534.0
Hydrophoria_lancifer_392047,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Anthomyiidae_30062,513.0
Malloewia_abdominalis_1720702,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chloropidae_29032,512.0
Zeugodacus_cucurbitae_28588,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tephritidae_7211,501.0
Phyllobius_oblongus_202124,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Curculionidae_7042,487.0
Taeniothrips_inconsequens_45055,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Thysanoptera_30262;Thripidae_45053,477.0
Monopelopia_tenuicalcar_1692406,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,469.0
Anopheles_albimanus_7167,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,468.0
Baetis_tricaudatus_248215,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Ephemeroptera_30073;Baetidae_172515,467.0
Bradysia_trivittata_1817618,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,467.0
Baetis_rhodani_189839,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Ephemeroptera_30073;Baetidae_172515,466.0
Erythroneura_rubrella_1473638,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,462.0
Diaphorina_citri_121845,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Liviidae_1585420,460.0
Anopheles_sinensis_74873,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,459.0
Chironomus_maturus_391765,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,458.0
Anaspis_rufa_1709586,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Scraptiidae_219440,453.0
Scoparia_penumbralis_1666708,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Crambidae_268499,452.0
Drosophila_falleni_7279,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Drosophilidae_7214,447.0
Rhagio_mystaceus_124329,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Rhagionidae_92609,444.0
Micropsectra_polita_403552,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,440.0
Frankliniella_occidentalis_133901,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Thysanoptera_30262;Thripidae_45053,440.0
Macrosteles_quadrilineatus_74068,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,436.0
Mycetophila_fungorum_397147,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Mycetophilidae_29035,433.0
Chaitophorus_populifolii_527602,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aphididae_27482,423.0
Helina_rufitibia_1473645,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,420.0
Philaenus_spumarius_36667,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aphrophoridae_36666,420.0
Glischrochilus_sanguinolentus_1710401,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Nitidulidae_116151,419.0
Ablabesmyia_americana_1348418,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,419.0
Peripsocus_subfasciatus_239249,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Psocoptera_30259;Peripsocidae_239234,415.0
Simulium_vittatum_7192,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Simuliidae_7190,413.0
Halyomorpha_halys_286706,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Pentatomidae_160513,412.0
Bactrocera_correcta_47773,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tephritidae_7211,411.0
Chironomus_atrella_1692490,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,408.0
Culicoides_scoticus_289302,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Ceratopogonidae_41819,405.0
Prosimulium_mixtum_994300,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Simuliidae_7190,403.0
Mycomya_affinis_1783339,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Mycetophilidae_29035,402.0
Aedes_cinereus_120872,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,400.0
Bactrocera_zonata_137042,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tephritidae_7211,400.0
Dolichopus_plumipes_310622,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Dolichopodidae_92558,394.0
Culex_quinquefasciatus_7176,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,394.0
Drosophila_neotestacea_38839,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Drosophilidae_7214,392.0
Minettia_lupulina_768769,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Lauxaniidae_189929,391.0
Aphis_gossypii_80765,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aphididae_27482,389.0
Forcipomyia_glauca_451887,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Ceratopogonidae_41819,389.0
Bradysia_placida_1783334,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,388.0
Lasius_neoniger_611257,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Formicidae_36668,382.0
Telenomus_podisi_408256,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Scelionidae_32417,379.0
Heliconius_erato_33431,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,377.0
Cerodontha_muscina_414253,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Agromyzidae_127399,375.0
Megaselia_lucifrons_1701714,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Phoridae_36164,374.0
Pantala_flavescens_185825,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Odonata_6961;Libellulidae_6964,374.0
Symplecta_cana_700862,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Limoniidae_43823,368.0
Thrips_tabaci_161014,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Thysanoptera_30262;Thripidae_45053,368.0
Macrorchis_ausoba_1690379,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,368.0
Empoasca_luda_1656456,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,367.0
Heterotrissocladius_oliveri_1887107,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,363.0
Dryomyza_anilis_169445,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Dryomyzidae_169441,362.0
Cerobasis_guestfalica_209976,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Psocoptera_30259;Trogiidae_209974,362.0
Iteaphila_orchestris_1692393,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Empididae_92557,362.0
Valenzuela_flavidus_239256,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Psocoptera_30259;Caeciliusidae_159975,360.0
Corynoptera_furcata_1817623,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,360.0
Operophtera_bruceata_670952,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Geometridae_82593,359.0
Melanophthalma_inermis_1895307,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Latridiidae_196999,356.0
Isonychia_valida_2871144,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Ephemeroptera_30073;Isonychiidae_219466,353.0
Cryptotendipes_darbyi_1727717,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,350.0
Chironomus_athalassicus_1727722,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,349.0
Scirtothrips_dorsalis_163899,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Thysanoptera_30262;Thripidae_45053,349.0
Chrysomya_megacephala_115424,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Calliphoridae_7371,344.0
Culex_torrentium_42433,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,342.0
Procladius_dentus_1828794,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,341.0
Pediculus_humanus_121225,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Phthiraptera_85819;Pediculidae_121221,339.0
Campaea_perlata_82598,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Geometridae_82593,338.0
Contacyphon_variabilis_877938,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Scirtidae_110010,332.0
Lygus_lineolaris_50650,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Miridae_30083,331.0
Bryotropha_similis_572820,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Gelechiidae_32434,327.0
Dicrotendipes_modestus_1672260,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,327.0
Pieris_rapae_64459,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Pieridae_7114,326.0
Drosophila_suzukii_28584,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Drosophilidae_7214,324.0
Orthocladius_oliveri_401647,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,323.0
Contacyphon_obscurus_1709638,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Scirtidae_110010,318.0
Scepticus_uniformis_1075057,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Curculionidae_7042,316.0
Prenolepis_imparis_262038,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Formicidae_36668,316.0
Boletina_dissipata_2211616,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Mycetophilidae_29035,311.0
Lasius_alienus_219781,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Formicidae_36668,311.0
Culicoides_imicola_88399,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Ceratopogonidae_41819,311.0
Megaselia_arizonensis_1889963,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Phoridae_36164,311.0
Doratura_stylata_139543,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,309.0
Tanytarsus_anderseni_1692440,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,309.0
Asteromyia_carbonifera_356845,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Cecidomyiidae_33406,308.0
Drosophila_subquinaria_198725,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Drosophilidae_7214,308.0
Balclutha_rhenana_1889763,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,306.0
Myrmica_rubra_106198,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Formicidae_36668,305.0
Conogethes_punctiferalis_1133088,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Crambidae_268499,304.0
Liriomyza_sativae_127406,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Agromyzidae_127399,303.0
Anopheles_gambiae_7165,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,303.0
Themira_nigricornis_292403,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sepsidae_137503,303.0
Aulacigaster_neoleucopeza_716611,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Aulacigastridae_286480,302.0
Cameraria_ohridella_199129,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Gracillariidae_98966,302.0
Lucilia_sericata_13632,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Calliphoridae_7371,302.0
Suillia_laevis_1822564,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Heleomyzidae_219548,302.0
Camptochaeta_delicata_1790161,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,300.0
Liriomyza_trifolii_198433,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Agromyzidae_127399,299.0
Copidosoma_floridanum_29053,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Encyrtidae_29051,299.0
Trialeurodes_vaporariorum_88556,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aleyrodidae_7036,298.0
Forcipata_acclina_1656489,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,297.0
Claustropyga_acanthostyla_1887978,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,295.0
Calliphora_vicina_7373,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Calliphoridae_7371,294.0
Idiocerus_suturalis_1656537,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,293.0
Protophormia_terraenovae_34676,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Calliphoridae_7371,291.0
Lycoriella_sativae_1887997,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,290.0
Phaonia_consobrina_1291919,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,290.0
Sylvicola_fuscatus_1086785,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Anisopodidae_52748,288.0
Diplonevra_nitidula_92536,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Phoridae_36164,287.0
Psyllobora_borealis_1710774,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Coccinellidae_7080,287.0
Corynoptera_melanochaeta_1720651,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,285.0
Osbornellus_auronitens_1479681,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,284.0
Bombus_lucorum_30193,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Apidae_7458,282.0
Boettcheria_cimbicis_657626,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sarcophagidae_7381,281.0
Conioscinella_triorbiculata_1887094,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chloropidae_29032,280.0
Balclutha_neglecta_706836,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,280.0
Harmonia_axyridis_115357,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Coccinellidae_7080,279.0
Cladotanytarsus_pallidus_288860,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,279.0
Heliconius_melpomene_34740,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,279.0
Bactrocera_carambolae_69614,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tephritidae_7211,276.0
Thrips_palmi_161013,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Thysanoptera_30262;Thripidae_45053,274.0
Tetrix_japonica_215053,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Orthoptera_6993;Tetrigidae_58550,274.0
Microtendipes_pedellus_994291,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,274.0
Bradysia_impatiens_335710,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,272.0
Polydrusus_formosus_1342089,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Curculionidae_7042,272.0
Malthodes_pumilus_346799,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Cantharidae_41097,272.0
Cotesia_xylina_694103,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Braconidae_7402,272.0
Locusta_migratoria_7004,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Orthoptera_6993;Acrididae_7002,268.0
Trixagus_carinicollis_1710666,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Throscidae_195305,267.0
Ceratopsyche_sparna_908146,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Trichoptera_30263;Hydropsychidae_41030,267.0
Coenosia_tigrina_559643,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,267.0
Enoclerus_nigripes_1126947,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Cleridae_186087,267.0
Phlebotomus_argentipes_94469,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Psychodidae_7197,266.0
Zeugodacus_tau_137263,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tephritidae_7211,265.0
Bombyx_mandarina_7092,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Bombycidae_7089,264.0
Cricotopus_trifascia_401643,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,264.0
Simulium_tani_210195,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Simuliidae_7190,263.0
Nemorimyza_posticata_414339,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Agromyzidae_127399,262.0
Belyta_validicornis_1473614,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Diapriidae_44343,262.0
Sorhoanus_xanthoneurus_1657196,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,261.0
Camponotus_herculeanus_36169,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Formicidae_36668,260.0
Tanytarsus_lugens_288809,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,260.0
Aedes_japonicus_140438,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,259.0
Sitobion_avenae_44664,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aphididae_27482,259.0
Corynoptera_subtrivialis_1887983,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,259.0
Ceratitis_capitata_7213,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tephritidae_7211,258.0
Lispocephala_alma_1293378,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,257.0
Anopheles_sundaicus_34692,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,257.0
Coccinella_septempunctata_41139,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Coccinellidae_7080,256.0
